"","baseMean","log2FoldChange","lfcSE","pvalue","padj","sig","pct_in_1","pct_in_2"
"Nipsnap1",0.611765344183515,-0.00117873639293519,0.106175724440636,0.221998007932028,NA,"Not significant",4.00775694893342,6.04026845637584
"Thoc5",5.36000502268948,-0.0220028891694702,0.099233667986747,0.601301293880953,0.663457843702088,"Not significant",24.1758241758242,29.6644295302013
"Ap1b1",32.0542716374801,0.0156513767253548,0.0855687024164868,0.560894270540176,0.632818088531909,"Not significant",76.147382029735,81.9463087248322
"Gas2l1",10.69610618227,0.0696299970149847,0.106185310865862,0.0804796732587237,0.215774242083428,"Not significant",40.5946994182288,48.3221476510067
"Ewsr1",27.1252174852857,0.00902707581493664,0.0785878451400172,0.715488405447122,0.75308748703167,"Not significant",70.2003878474467,79.7986577181208
"Rhbdd3",1.42319778640838,0.0110610510795505,0.105165953869731,0.166537998734906,0.30965205721767,"Not significant",10.1486748545572,12.2818791946309
"Kremen1",2.13309974976878,0.0269901992573425,0.107309007349714,0.16861114764205,0.311852774427583,"Not significant",13.4453781512605,17.5167785234899
"Znrf3",8.86467970006748,0.242025510886082,0.371576849204536,0.00529610267063989,0.0658147065457256,"Not significant",24.1758241758242,33.8255033557047
"Xbp1",28.8101167178685,-0.0398511277494794,0.101984011846242,0.0163438693819336,0.102149940509333,"Not significant",61.8616677440207,71.0738255033557
"Ccdc117",2.99332333635224,-0.0771984749098562,0.131743381223816,0.0936480488822754,0.23302127559401,"Not significant",17.9056237879767,17.6510067114094
"Mrps24",39.3581893209009,0.0946082154169834,0.101112448424368,0.104064432113174,0.245274151831119,"Not significant",79.5087265675501,91.3422818791946
"Urgcp",4.6514788703725,-0.00438565516734598,0.102763557304669,0.774464747272798,0.801860672348635,"Not significant",17.1299288946348,21.744966442953
"Dbnl",16.5530883236313,0.0447366914421605,0.0915870417634608,0.174685534907036,0.318474520627408,"Not significant",51.4544279250162,61.5436241610738
"Pgam2",1.96569791125072,-0.0236377286393019,0.110561305713021,0.233218351276807,0.373538801693909,"Not significant",11.1182934712346,9.06040268456376
"Polm",1.36864346521206,0.00974746252611417,0.102605253315729,1,1,"Not significant",7.36910148674855,9.73154362416107
"Aebp1",2.5113701005252,-0.0146561239302052,0.108393881041035,0.186556505657335,0.329815629160554,"Not significant",13.251454427925,12.2818791946309
"Pold2",1.94221091573785,-0.0105665969089884,0.103836559174068,0.383421145458425,0.4973606340261,"Not significant",8.79120879120879,11.8791946308725
"Ykt6",9.44433220365488,0.0321506462079289,0.10278633874277,0.117016602979648,0.258392693350002,"Not significant",36.9747899159664,51.5436241610738
"Nudcd3",18.7189354112747,-0.0628980409488643,0.0941964913754059,0.197177084887278,0.339771241923676,"Not significant",57.9185520361991,68.5906040268456
"Ddx56",3.03486097462137,-0.00133806979649276,0.0999214455270567,0.697017509408585,0.738133304852654,"Not significant",15.8371040723982,18.4563758389262
"Tmed4",7.34167119086358,0.020357886659241,0.0884256922531881,0.552239108609106,0.626432616141173,"Not significant",33.1609566903685,42.8859060402685
"Ogdh",21.7860892006184,0.00395692242887321,0.0734168848703727,0.32169197256866,0.449532626510105,"Not significant",62.7666451195863,72.0805369127517
"Zmiz2",10.3404848674659,-0.0185539281567564,0.09987292074438,0.352988957745885,0.474046468639033,"Not significant",45.5720749838397,53.8255033557047
"Ppia",409.608744866031,0.0115768784563196,0.0824555027382523,0.819943025368626,0.839502656524057,"Not significant",99.7414350355527,99.6644295302013
"H2afv",31.1437546607061,-0.0340833110225266,0.0915715366857498,0.481587705543102,0.572383231527762,"Not significant",79.5733678086619,85.5704697986577
"Purb",26.3572874933548,-0.192445793473466,0.0939018979151858,0.00710085151612383,0.0727285430835847,"Not significant",72.4628312863607,74.0268456375839
"Myo1g",11.5077160340339,-0.0423497948828327,0.0945478752206102,0.268588302193572,0.40556155146461,"Not significant",50.8080155138979,55.0335570469799
"Snhg15",1.95733702897696,0.00677252140267196,0.105422939632435,0.0802265390778009,0.215339753650645,"Not significant",12.863606981254,15.9731543624161
"Ccm2",18.7903708210317,0.0129859191251823,0.101170068748855,0.0715710792927641,0.203195824062142,"Not significant",57.7246283128636,59.261744966443
"Tbrg4",1.51741382500036,-0.00622606930087565,0.104632136720361,0.0806687972209241,0.215919271363142,"Not significant",8.66192630898513,11.2080536912752
"Igfbp3",1.78693016097236,-0.00646106124305205,0.105792717988582,1,1,"Not significant",8.46800258564964,10.0671140939597
"Tns3",43.2492561956751,0.212992915763987,0.149384174375441,0.0154602796926083,0.099827280063207,"Not significant",78.021978021978,86.7114093959731
"Hus1",0.936583239964404,0.0184456716814659,0.107905442008593,0.155711749299967,NA,"Not significant",5.88235294117647,9.19463087248322
"Zpbp",0.51585117320529,-0.011921032080992,0.107195046565544,0.0721401160768948,NA,"Not significant",3.49062702003878,3.8255033557047
"Ikzf1",45.1769319950019,-0.0730993904942183,0.105171205990114,0.104261530138367,0.24539167957204,"Not significant",78.1512605042017,82.6845637583893
"Grb10",1.49416651084368,0.0137069204728486,0.107677036131065,0.517890124633371,0.601027905377175,"Not significant",11.0536522301228,12.8187919463087
"Gm12002",1.35526017958153,0.0117650537506312,0.107858319183181,0.685862481341575,0.728636191729109,"Not significant",3.03813833225598,4.42953020134228
"Sec61g",72.2534819203023,0.0167515534695562,0.0928168909019133,0.685080076527251,0.727982209687493,"Not significant",86.4253393665158,93.9597315436242
"Egfr",4.86893215360155,-0.0377695185508811,0.117688631338336,0.00955336176034185,0.0835704398640338,"Not significant",9.76082740788623,7.24832214765101
"Plek",43.9247247984942,0.0448588803831932,0.0933918861860895,0.248016174293839,0.38702798967485,"Not significant",79.1208791208791,86.1073825503356
"Cnrip1",4.99418735813517,0.00872125771943138,0.105932741864733,0.734489666842392,0.768730732253589,"Not significant",20.2327084680026,20.8724832214765
"Ppp3r1",1.85065768461696,-0.0152951597730328,0.104961366387964,0.0282200181946114,0.13109258962722,"Not significant",8.27407886231416,9.26174496644295
"Wdr92",1.82176069644014,0.00666607862548219,0.101756059162772,0.0812742003856561,0.216483952265835,"Not significant",11.9586296056884,14.6979865771812
"Pno1",7.66125293180809,0.0261023723887226,0.10220357171734,0.271869639085806,0.408104094527776,"Not significant",27.3432449903038,38.7248322147651
"C1d",18.7013389751367,0.0394953328038097,0.0902705657629571,0.0475015394078789,0.16883017477408,"Not significant",60.8274078862314,75.1677852348993
"Etaa1",2.68329583023344,-0.0316886808041789,0.103507078795953,0.106453680474051,0.247704862424245,"Not significant",15.1260504201681,16.9798657718121
"Meis1",1.59588074172564,-0.0389866664058084,0.11508911316355,0.0533095039985337,0.17755619303596,"Not significant",5.42986425339367,5.16778523489933
"Spred2",4.65338069187517,-0.0170926750552788,0.105635196965215,0.430408991225463,0.534544418889739,"Not significant",13.251454427925,18.5906040268456
"Actr2",82.447866868658,-0.00537965789454251,0.083969497058712,0.830356326778253,0.848124175386447,"Not significant",93.6651583710407,94.496644295302
"Rab1a",44.2117260379889,0.147073558295313,0.12179669608528,0.0460229925130717,0.165676887798317,"Not significant",82.7407886231416,89.3288590604027
"Cep68",4.85780574278364,-0.0670306552325541,0.130247985429617,0.0162628505365763,0.101763962755941,"Not significant",21.5255332902392,19.1275167785235
"Sertad2",7.8339748670295,-0.0326791048718947,0.106802411304279,0.208624135111173,0.351260184631718,"Not significant",26.2443438914027,30.5369127516779
"Aftph",32.5688180737444,0.00482957202981782,0.0974353460274003,0.889520675050416,0.901076328405395,"Not significant",78.2159017453135,80
"Lgalsl",1.16065624993108,-0.0152944643892892,0.108522516625253,0.00263062120242161,0.0492780460290426,"Significant",3.36134453781513,3.22147651006711
"Peli1",38.7486793653717,0.0121650273779619,0.0980807948074791,0.64917242804125,0.700831376412107,"Not significant",76.0180995475113,80.3355704697987
"Vps54",21.9294872938136,-0.0483533342349129,0.10172490950114,0.0456059512109018,0.164966285984193,"Not significant",57.5307045895281,62.6174496644295
"Ugp2",20.2150922798186,0.0957265428339429,0.134796442518175,0.0619612157647941,0.188585830231676,"Not significant",58.7588881706529,70.7382550335571
"Mdh1",31.7804709832643,0.151803983803963,0.124584038527065,0.00927868817317793,0.0824600156763821,"Not significant",72.5921137685844,85.503355704698
"Wdpcp",11.4047932497499,0.00112923077905732,0.103455279746196,0.272862971280386,0.408711160689067,"Not significant",31.6095669036845,34.4295302013423
"Ehbp1",8.39147280576556,0.000662727021952368,0.101858073993061,0.228036767326739,0.369745329879783,"Not significant",29.153199741435,33.8926174496644
"B3gnt2",11.2803277915189,0.00503014170523445,0.0933482828700383,0.531604306713321,0.612283007450285,"Not significant",43.1157078215902,46.9798657718121
"Commd1",32.1243492785728,0.0588033147194818,0.0912616832020031,0.195033706885275,0.337730007769637,"Not significant",74.9191984486102,84.2281879194631
"Zrsr1",1.88905584835413,0.0250495850704528,0.108131782838926,0.39579452126961,0.50671024373594,"Not significant",10.0193923723335,14.2281879194631
"Cct4",42.826088150969,-0.00794001857698091,0.070968558932487,0.150458118075711,0.29360133358949,"Not significant",81.5772462831286,89.9328859060403
"Fam161a",0.993580738261118,-0.0500825421267705,0.121218693245213,0.0982526092567984,0.239302916719333,"Not significant",5.88235294117647,5.83892617449664
"Xpo1",12.4248154145021,0.00939924001720523,0.0957745345892446,0.801538811313645,0.8247098063627,"Not significant",42.5339366515837,51.2751677852349
"Usp34",34.070010889769,0.0955555812712204,0.112293858184117,0.0721497224470829,0.203706305914027,"Not significant",75.1777634130575,81.1409395973154
"Ahsa2",5.07725976843433,0.00573595093077045,0.0984775711531094,0.285749528902002,0.420121904548608,"Not significant",22.365869424693,32.4161073825503
"0610010F05Rik",7.65682694359076,-0.0639294251718604,0.109445852978506,0.0589518460264831,0.184551978903011,"Not significant",32.967032967033,37.248322147651
"Pex13",10.919462878694,0.0112188024121157,0.0899616110378245,0.356266740768823,0.476842866477139,"Not significant",42.0168067226891,52.2818791946309
"Pus10",5.44182379134746,0.00895991633701663,0.0965944686740244,0.81661824130971,0.83676951900679,"Not significant",23.7879767291532,33.8255033557047
"Rel",18.4069031434967,-0.0973471660629012,0.140807208051722,0.0954259241770688,0.235500496386571,"Not significant",65.0937297996121,66.5771812080537
"Papolg",3.20056912257959,-0.033220867028621,0.11289617041789,0.00175512398496683,0.0403797106000816,"Significant",11.376858435682,11.4093959731544
"Bcl11a",0.864888056607643,-0.0765672365726923,0.147986544523192,0.0053782236345124,NA,"Not significant",5.68842921784098,4.16107382550336
"5730522E02Rik",1.07517115159482,-0.0675749941396249,0.139753393557342,0.00646344051655203,0.0709898097614926,"Not significant",4.00775694893342,3.08724832214765
"Fancl",5.37714062215272,0.00494178436868393,0.0992074480493584,0.019626775173929,0.112381932350573,"Not significant",28.8299935358759,32.0134228187919
"Vrk2",31.2676216071168,-0.384884933539234,0.252138225153614,0.000566979229780395,0.0213715602664455,"Significant",65.4815772462831,66.9127516778523
"Ccdc85a",3.65892960917326,0.0150524515521086,0.108151972119546,0.457292941200057,0.555043654272646,"Not significant",10.0840336134454,10.0671140939597
"Pnpt1",5.73668682610963,0.0708528291089538,0.114161620235068,0.0846218182816294,0.221077878404173,"Not significant",25.5332902391726,33.9597315436242
"Ppp4r3b",18.4877394802429,-0.097881078800944,0.121670238412362,0.0114285254404251,0.0885353535535607,"Not significant",64.7058823529412,69.7315436241611
"Cfap36",8.06048683032755,0.0546156395642938,0.104653431836848,0.22867886747614,0.37007719476759,"Not significant",34.5184227537169,47.3825503355705
"Ccdc88a",35.7416530550171,-0.362766745091663,0.146788419963037,0.00029105817791981,0.0138494200387103,"Significant",73.6910148674855,75.1677852348993
"Prorsd1",13.1161587706835,-0.0110161026578426,0.0955038249342038,0.496444023833943,0.583986568552809,"Not significant",50.3555268261151,59.0604026845638
"Mtif2",9.0013519426196,0.0740335209901871,0.118199912542627,0.176170583033462,0.319982664595807,"Not significant",36.8455074337427,43.4228187919463
"Rps27a",934.854011091993,-0.0302137117169054,0.0707425487253098,0.542476302542236,0.619634958120199,"Not significant",100,100
"Rtn4",158.612738971544,0.0380175051253985,0.086998655047139,0.426488409070845,0.531452416492857,"Not significant",98.8364576599871,99.5302013422819
"Eml6",5.53105908732625,-0.0536483166902907,0.1244905703296,0.0568047777593358,0.182371776872625,"Not significant",18.4873949579832,18.5234899328859
"Sptbn1",30.2377259603104,0.0160127026818116,0.0969695190940657,0.254566455973911,0.392449548367606,"Not significant",64.382676147382,71.3422818791946
"Acyp2",6.07646859072943,-0.0290788331909387,0.108698257348604,0.033613021533838,0.143965205437382,"Not significant",15.5785391079509,18.7919463087248
"Psme4",23.7800000623905,0.0189275240170107,0.0846238283211743,0.703635919149116,0.743215894334424,"Not significant",67.6147382029735,73.8255033557047
"Asb3",8.22805883824856,-0.093282868637218,0.137162728923074,0.0441804703507033,0.16286665630907,"Not significant",35.229476405947,35.9731543624161
"Erlec1",14.4874954174105,0.0452157166562774,0.0979278665671517,0.0620839403819087,0.188633983046162,"Not significant",56.3025210084034,66.7114093959731
"Chac2",1.69896460671873,0.000474221732778385,0.102100295728232,0.00847175352741272,0.0791756288037703,"Not significant",11.3122171945701,15.2348993288591
"Bod1",4.06172937112388,0.00188626930507966,0.101394228946384,0.00837253232168924,0.0786802370432894,"Not significant",15.6431803490627,20.4026845637584
"Cpeb4",16.4971434657669,0.388804548752505,0.290462425401293,0.00485432089490301,0.0634260233902999,"Not significant",50.5494505494505,65.3020134228188
"Snrnp25",6.93761844514102,0.175082581163861,0.20711026661699,0.0101983977301205,0.0852509270156966,"Not significant",29.2824822236587,44.5637583892617
"Nprl3",1.68354939346972,-0.0166857751880428,0.105575716210111,0.0397892181992394,0.155394355946323,"Not significant",13.9625080801551,15.3020134228188
"Mpg",5.20195989976866,-0.102681138627037,0.130010125913629,0.0674335592627336,0.196465262187264,"Not significant",29.2178409825469,30.9395973154362
"Sh3pxd2b",19.6739816718785,4.98169320708141e-05,0.0973499916598828,0.206243291813858,0.348457695315673,"Not significant",55.0096961861668,61.2751677852349
"Ubtd2",2.02333663559576,-0.0269969605250217,0.111066030319889,0.0369415760893406,0.151037782601077,"Not significant",7.36910148674855,6.97986577181208
"Stk10",19.4256742369133,-0.0665367292425956,0.120221457497782,0.00930804630285439,0.0824600156763821,"Not significant",54.4279250161603,53.8926174496644
"Fbxw11",19.5428721746225,-0.00919252362768435,0.0937543939162692,0.0656643208116306,0.193808191924249,"Not significant",55.1389786683904,63.2214765100671
"Npm1",178.43833309256,-0.025297265246531,0.0649648440418046,0.297025778518467,0.430310357050935,"Not significant",98.7718164188752,99.6644295302013
"4930469K13Rik",1.96635381489413,7.02412690681947e-05,0.104806371024503,0.855398861204784,0.870135368174355,"Not significant",12.6696832579186,13.6241610738255
"Lcp2",28.9067344290456,-0.0217668501609952,0.0869420505592893,0.255678994824281,0.393752590401029,"Not significant",69.5539754363284,76.4429530201342
"Dock2",113.67942139789,-0.0205324331564775,0.0826971757557984,0.569284294248623,0.639388572374897,"Not significant",95.087265675501,96.6442953020134
"Insyn2b",5.8085333535122,-0.0194178634529083,0.102587543908359,0.263926680307274,0.401069266818597,"Not significant",21.8487394957983,23.1543624161074
"Spdl1",1.73703601318436,0.106909211408878,0.18250178894026,0.022828919054284,0.119772680092199,"Not significant",6.20555914673562,11.2080536912752
"Slit3",0.959027643411712,-0.00857313866972419,0.106798711246754,1,NA,"Not significant",5.88235294117647,5.70469798657718
"Pank3",6.24352748563666,0.0074338148326794,0.0969509953695577,0.00227035728076214,0.0459545917038224,"Significant",33.7427278603749,40.1342281879195
"Rars",9.42211369551872,0.0840262914917035,0.135657652082773,0.0269771486280063,0.129257181620576,"Not significant",35.6819650937298,52.6845637583893
"Mat2b",18.0322697799804,-0.0307578937768064,0.0767613111689234,0.225888274951922,0.367522992067318,"Not significant",62.1848739495798,70
"Nudcd2",10.9003348541339,0.0560485023625482,0.112532616235033,0.209656205502863,0.352210034826111,"Not significant",37.2333548804137,50.738255033557
"Ccng1",9.3036890161653,0.0776052702765293,0.114930391203986,0.0146796517552424,0.0974351154514628,"Not significant",38.9786683904331,50.6711409395973
"Pttg1",10.82413188039,-0.0933807950987054,0.133817965633405,0.109512797545178,0.250767367613538,"Not significant",45.442792501616,50.8724832214765
"Slu7",12.1381472826461,0.0226641769757516,0.101428559446101,0.522565439560537,0.604667644439384,"Not significant",48.8041370394312,54.6979865771812
"Pwwp2a",5.71989263105436,-0.0620560541437027,0.115954136692,0.196700547020522,0.339318949213274,"Not significant",29.0239172592114,32.2818791946309
"Ttc1",10.8424271933095,0.0421845450320206,0.0870365446699865,0.00930545133071524,0.0824600156763821,"Not significant",44.9903038138332,55.8389261744966
"Ublcp1",2.81821619547065,-0.0616242092243724,0.120921904151716,0.167024561547202,0.310210162946303,"Not significant",14.8674854557208,16.7114093959732
"Rnf145",6.56979098957312,-0.0558078183252675,0.120557720655908,0.126998066890845,0.269090490207423,"Not significant",37.7504848093083,34.9664429530201
"Ebf1",6.38280324939176,-0.0110941911124285,0.106563403281185,0.640229425943637,0.693729688966511,"Not significant",19.8448610213316,19.7315436241611
"F630206G17Rik",1.56410666975701,-0.0915442915303724,0.171414454413184,0.00159903454081538,0.0382532501977263,"Significant",9.11441499676794,5.36912751677852
"Clint1",41.8601576675928,-0.136819557624028,0.0959077321195338,0.028273215186892,0.131218034136348,"Not significant",84.6153846153846,87.5838926174497
"Lsm11",2.45060470746611,0.00547767775917482,0.10290581826772,0.90621188056915,0.916076631371981,"Not significant",11.9586296056884,16.0402684563758
"Thg1l",1.25189099395611,0.0237651801843932,0.107518463570315,0.0496616190144865,0.172500800375872,"Not significant",8.40336134453782,12.5503355704698
"Adam19",42.0802902051201,0.0137006334083714,0.10431160574323,0.553971425501702,0.627502562818795,"Not significant",72.5274725274725,67.5167785234899
"Gm16033",1.93154178633894,-0.00720635664782169,0.106482849412041,0.0711292832293279,0.20250055276733,"Not significant",8.72656755009696,9.19463087248322
"Cyfip2",2.90197167816687,0.00850437134158289,0.10560907600429,0.210630784810143,0.352835924374485,"Not significant",13.8978668390433,25.2348993288591
